Ubigeo;Distrito;Provincia;Departamento;Poblacion;Superficie;Y;X
040118;Santa Rita de Siguas;Arequipa;Arequipa;5854;370.16;-16.4928;-72.0944
040119;Socabaya;Arequipa;Arequipa;83799;18.64;-16.4522;-71.5308
040120;Tiabaya;Arequipa;Arequipa;14812;31.62;-16.4489;-71.5908
040121;Uchumayo;Arequipa;Arequipa;12950;227.14;-16.425;-71.6722
040122;Vitor;Arequipa;Arequipa;2267;1543.5;-16.4658;-71.9389
040123;Yanahuara;Arequipa;Arequipa;26233;2.2;-16.395;-71.5539
040124;Yarabamba;Arequipa;Arequipa;1140;492.2;-16.5481;-71.4775
040125;Yura;Arequipa;Arequipa;28556;1942.9;-16.245;-71.6931
040126;Mariano Melgar;Arequipa;Arequipa;52881;29.83;-16.4058;-71.5117
040127;Jacobo Hunter;Arequipa;Arequipa;48985;20.37;-16.4467;-71.5556
040128;Alto Selva Alegre;Arequipa;Arequipa;85223;6.98;-16.3706;-71.5272
040129;Jose Luis Bustamante y Rivero;Arequipa;Arequipa;76905;10.83;-16.4344;-71.5175
040201;Chivay;Caylloma;Arequipa;8073;240.64;-15.64;-71.6033
040202;Achoma;Caylloma;Arequipa;869;393.54;-15.6611;-71.7017
040203;Cabanaconde;Caylloma;Arequipa;2332;460.55;-15.6214;-71.9797
040204;Caylloma;Caylloma;Arequipa;3021;1499.0;-15.1872;-71.7725
040205;Callalli;Caylloma;Arequipa;1915;1485.1;-15.5067;-71.4483
040206;Coporaque;Caylloma;Arequipa;1542;111.98;-15.6275;-71.6483
040207;Huambo;Caylloma;Arequipa;566;705.79;-15.7297;-72.1072
040208;Huanca;Caylloma;Arequipa;1383;391.16;-16.0311;-71.8736
040209;Ichupampa;Caylloma;Arequipa;648;74.89;-15.6503;-71.6892
040210;Lari;Caylloma;Arequipa;1548;384.02;-15.6217;-71.7692
040211;Lluta;Caylloma;Arequipa;1253;1226.46;-16.0156;-72.0161
040212;Maca;Caylloma;Arequipa;692;227.48;-15.6417;-71.7711
040213;Madrigal;Caylloma;Arequipa;463;160.09;-15.6086;-71.8103
040214;San Antonio de Chuca;Caylloma;Arequipa;1593;1531.27;-15.8403;-71.0903
040215;Sibayo;Caylloma;Arequipa;655;286.03;-15.4858;-71.4586
040216;Tapay;Caylloma;Arequipa;523;420.17;-15.5789;-71.9414
040217;Tisco;Caylloma;Arequipa;1388;1445.02;-15.3469;-71.4492
040218;Tuti;Caylloma;Arequipa;738;241.89;-15.5325;-71.5511
040219;Yanque;Caylloma;Arequipa;2113;1108.58;-15.65;-71.6614
040220;Majes;Caylloma;Arequipa;69348;1625.8;-16.3586;-72.1908
040301;Camana;Camana;Arequipa;14409;11.67;-16.6236;-72.7114
040302;Jose Maria Quimper;Camana;Arequipa;4195;16.72;-16.6031;-72.7275
040303;Mariano Nicolas Valcarcel;Camana;Arequipa;7728;557.74;-16.0303;-73.1625
040304;Mariscal Caceres;Camana;Arequipa;6637;579.31;-16.6183;-72.7361
040305;Nicolas de Pierola;Camana;Arequipa;6387;391.84;-16.5717;-72.7147
040306;Ocoña;Camana;Arequipa;4862;1414.8;-16.4328;-73.1081
040307;Quilca;Camana;Arequipa;630;912.25;-16.7164;-72.4275
040308;Samuel Pastor;Camana;Arequipa;15933;113.4;-16.615;-72.6989
040401;Caraveli;Caraveli;Arequipa;3705;727.68;-15.7728;-73.3681
040402;Acari;Caraveli;Arequipa;3010;799.21;-15.4325;-74.6172
040403;Atico;Caraveli;Arequipa;4128;3146.24;-16.2089;-73.6258
040404;Atiquipa;Caraveli;Arequipa;945;423.55;-15.7956;-74.3658
040405;Bella Union;Caraveli;Arequipa;7296;1588.41;-15.4519;-74.6622
040406;Cahuacho;Caraveli;Arequipa;909;1412.1;-15.5042;-73.4817
040407;Chala;Caraveli;Arequipa;7186;378.38;-15.8667;-74.2472
040408;Chaparra;Caraveli;Arequipa;5814;1473.19;-15.8058;-73.9672
040409;Huanuhuanu;Caraveli;Arequipa;3469;708.52;-15.6592;-74.0936
040410;Jaqui;Caraveli;Arequipa;1163;424.73;-15.4753;-74.4414
040411;Lomas;Caraveli;Arequipa;1356;452.7;-15.5719;-74.8533
040412;Quicacha;Caraveli;Arequipa;1890;1048.42;-15.6253;-73.7978
040413;Yauca;Caraveli;Arequipa;1555;556.3;-15.6606;-74.5269
040501;Aplao;Castilla;Arequipa;8856;640.04;-16.0761;-72.4925
040502;Andagua;Castilla;Arequipa;1116;480.74;-15.4975;-72.355
040503;Ayo;Castilla;Arequipa;401;327.97;-15.6836;-72.2744
040504;Chachas;Castilla;Arequipa;1671;1190.49;-15.5017;-72.2719
040505;Chilcaymarca;Castilla;Arequipa;1376;181.37;-15.2867;-72.3794
040506;Choco;Castilla;Arequipa;985;904.33;-15.5761;-72.1331
040507;Huancarqui;Castilla;Arequipa;1288;803.65;-16.0969;-72.4722
040508;Machaguay;Castilla;Arequipa;681;246.89;-15.6486;-72.5056
040509;Orcopampa;Castilla;Arequipa;10039;724.37;-15.2661;-72.3431
040510;Pampacolca;Castilla;Arequipa;2612;205.19;-15.7131;-72.5728
040511;Tipan;Castilla;Arequipa;506;57.68;-15.7272;-72.5053
040512;Uraca;Castilla;Arequipa;7235;713.83;-16.2231;-72.4733
040513;Uñon;Castilla;Arequipa;464;296.93;-15.7275;-72.4317
040514;Viraco;Castilla;Arequipa;1647;141.0;-15.6547;-72.5247
040601;Chuquibamba;Condesuyos;Arequipa;3279;1255.04;-15.8397;-72.6542
040602;Andaray;Condesuyos;Arequipa;657;847.56;-15.7961;-72.8597
040603;Cayarani;Condesuyos;Arequipa;3046;1395.67;-14.6731;-72.0231
040604;Chichas;Condesuyos;Arequipa;638;392.16;-15.5469;-72.9183
040605;Iray;Condesuyos;Arequipa;633;247.62;-15.8564;-72.625
040606;Salamanca;Condesuyos;Arequipa;841;1235.8;-15.5042;-72.8333
040607;Yanaquihua;Condesuyos;Arequipa;6061;1057.07;-15.7747;-72.8758
040608;Rio Grande;Condesuyos;Arequipa;2606;527.48;-15.9411;-73.1308
040701;Mollendo;Islay;Arequipa;22008;960.83;-17.025;-72.0181
040702;Cocachacra;Islay;Arequipa;8901;1536.96;-17.0942;-71.7711
040703;Dean Valdivia;Islay;Arequipa;6703;134.08;-17.145;-71.8239
040704;Islay;Islay;Arequipa;7851;383.78;-17.0;-72.1017
040705;Mejia;Islay;Arequipa;1014;100.78;-17.1028;-71.9086
040706;Punta de Bombon;Islay;Arequipa;6444;769.6;-17.1728;-71.7928
040801;Cotahuasi;La Union;Arequipa;2923;166.5;-15.2111;-72.8911
040802;Alca;La Union;Arequipa;1988;193.42;-15.1342;-72.7647
040803;Charcana;La Union;Arequipa;536;165.27;-15.2411;-73.0697
040804;Huaynacotas;La Union;Arequipa;2207;932.64;-15.1744;-72.8514
040805;Pampamarca;La Union;Arequipa;1231;782.17;-15.185;-72.9072
040806;Puyca;La Union;Arequipa;2797;1501.2;-15.0589;-72.6908
040807;Quechualla;La Union;Arequipa;228;138.37;-15.2758;-73.0233
040808;Sayla;La Union;Arequipa;592;66.55;-15.3211;-73.2214
040809;Tauria;La Union;Arequipa;317;314.68;-15.3553;-73.2319
040810;Tomepampa;La Union;Arequipa;813;94.16;-15.1728;-72.8297
040811;Toro;La Union;Arequipa;767;391.44;-15.2642;-72.9275
050101;Ayacucho;Huamanga;Ayacucho;96671;83.11;-13.1542;-74.2228
050102;Acos Vinchos;Huamanga;Ayacucho;6197;156.82;-13.1125;-74.1017
050103;Carmen Alto;Huamanga;Ayacucho;22397;17.52;-13.1722;-74.2242
050104;Chiara;Huamanga;Ayacucho;7216;461.61;-13.2733;-74.2053
050105;Quinua;Huamanga;Ayacucho;6375;116.61;-13.0497;-74.1397
050106;San Jose de Ticllas;Huamanga;Ayacucho;2591;82.31;-13.1328;-74.3331
050107;San Juan Bautista;Huamanga;Ayacucho;52935;15.19;-13.1658;-74.2222
050108;Santiago de Pischa;Huamanga;Ayacucho;1700;91.09;-13.085;-74.3911
050109;Vinchos;Huamanga;Ayacucho;17136;928.68;-13.2417;-74.3536
050110;Tambillo;Huamanga;Ayacucho;5462;153.23;-13.1922;-74.1097
050111;Acocro;Huamanga;Ayacucho;11081;436.65;-13.2183;-74.0411
050112;Socos;Huamanga;Ayacucho;7637;172.34;-13.215;-74.2894
050113;Ocros;Huamanga;Ayacucho;6466;305.41;-13.3917;-73.9164
050114;Pacaycasa;Huamanga;Ayacucho;3314;53.55;-13.0564;-74.2142
050115;Jesus Nazareno;Huamanga;Ayacucho;18815;16.12;-13.1531;-74.2114
050201;Cangallo;Cangallo;Ayacucho;6866;187.05;-13.6281;-74.1442
050204;Chuschi;Cangallo;Ayacucho;8127;418.03;-13.5831;-74.3536
050206;Los Morochucos;Cangallo;Ayacucho;8316;253.22;-13.5572;-74.1947
050207;Paras;Cangallo;Ayacucho;4636;789.09;-13.5517;-74.6272
050208;Totos;Cangallo;Ayacucho;3742;112.9;-13.5681;-74.5242
050211;Maria Parado de Bellido;Cangallo;Ayacucho;2576;129.13;-13.6039;-74.2347
050301;Huanta;Huanta;Ayacucho;42538;193.48;-12.9386;-74.2486
050302;Ayahuanco;Huanta;Ayacucho;6452;297.89;-12.5981;-74.3231
050303;Huamanguilla;Huanta;Ayacucho;5345;95.27;-13.0108;-74.1731
050304;Iguain;Huanta;Ayacucho;3327;61.44;-12.9919;-74.2083
050305;Luricocha;Huanta;Ayacucho;5359;130.04;-12.8981;-74.2711
050307;Santillana;Huanta;Ayacucho;4906;336.17;-12.7656;-74.2528
050308;Sivia;Huanta;Ayacucho;13511;1053.52;-12.5119;-73.8578
050309;Llochegua;Huanta;Ayacucho;11372;469.02;-12.4114;-73.9097
050401;San Miguel;La Mar;Ayacucho;9248;457.88;-13.0117;-73.9789
050402;Anco;La Mar;Ayacucho;11144;802.86;-13.0592;-73.7072
050403;Ayna;La Mar;Ayacucho;10559;290.51;-12.6244;-73.79
050404;Chilcas;La Mar;Ayacucho;3081;156.58;-13.1722;-73.9083
050405;Chungui;La Mar;Ayacucho;5478;1093.05;-13.2222;-73.6242
050406;Tambo;La Mar;Ayacucho;20429;313.82;-12.9506;-74.0233
050407;Luis Carranza;La Mar;Ayacucho;1041;135.84;-13.2283;-73.8925
050408;Santa Rosa;La Mar;Ayacucho;11233;396.58;-12.6894;-73.735
050409;Samugari;La Mar;Ayacucho;10772;387.45;-12.7908;-73.6414
050501;Puquio;Lucanas;Ayacucho;14166;866.43;-14.6914;-74.1283
050502;Aucara;Lucanas;Ayacucho;5640;903.51;-14.2681;-73.9703
050503;Cabana;Lucanas;Ayacucho;4727;402.62;-14.2897;-73.9667
050504;Carmen Salcedo;Lucanas;Ayacucho;4159;473.66;-14.3875;-73.9625
050506;Chaviña;Lucanas;Ayacucho;2025;399.09;-14.9778;-73.8364
050508;Chipao;Lucanas;Ayacucho;3825;1166.91;-14.3661;-73.8786
050510;Huac-Huas;Lucanas;Ayacucho;2865;309.48;-14.1308;-74.9419
050511;Laramate;Lucanas;Ayacucho;1367;785.89;-14.2858;-74.8425
050512;Leoncio Prado;Lucanas;Ayacucho;1364;1053.6;-14.7278;-74.67
050513;Lucanas;Lucanas;Ayacucho;4240;1205.78;-14.6222;-74.2328
050514;Llauta;Lucanas;Ayacucho;1126;482.07;-14.2439;-74.9192
050516;Ocaña;Lucanas;Ayacucho;2932;848.36;-14.3983;-74.8219
050517;Otoca;Lucanas;Ayacucho;3149;720.2;-14.4894;-74.6892
050520;Sancos;Lucanas;Ayacucho;7510;1520.87;-15.0619;-73.9511
050521;San Juan;Lucanas;Ayacucho;1636;44.59;-14.66;-74.2011
050522;San Pedro;Lucanas;Ayacucho;3019;733.03;-14.7708;-74.0972
050524;Santa Ana de Huaycahuacho;Lucanas;Ayacucho;669;50.63;-14.2281;-73.955
050525;Santa Lucia;Lucanas;Ayacucho;889;1019.14;-14.9786;-74.5233
050529;Saisa;Lucanas;Ayacucho;933;585.4;-14.9383;-74.4183
050531;San Pedro de Palco;Lucanas;Ayacucho;1371;531.55;-14.4139;-74.65
050532;San Cristobal;Lucanas;Ayacucho;2182;391.83;-14.7425;-74.2217
050601;Coracora;Parinacochas;Ayacucho;15679;1399.41;-15.0161;-73.7819
050604;Coronel Castañeda;Parinacochas;Ayacucho;1926;1108.04;-14.81;-73.2886
050605;Chumpi;Parinacochas;Ayacucho;2680;366.3;-15.0944;-73.7478
050608;Pacapausa;Parinacochas;Ayacucho;2955;144.3;-14.9492;-73.3678
050611;Pullo;Parinacochas;Ayacucho;5003;1562.34;-15.2092;-73.8294
050612;Puyusca;Parinacochas;Ayacucho;2091;700.75;-15.2492;-73.5703
050615;San Francisco de Ravacayco;Parinacochas;Ayacucho;770;99.83;-14.9975;-73.3556
050616;Upahuacho;Parinacochas;Ayacucho;2817;587.35;-14.9075;-73.3972
050701;Huancapi;Victor Fajardo;Ayacucho;2049;223.35;-13.7528;-74.0669
050702;Alcamenca;Victor Fajardo;Ayacucho;2428;125.11;-13.6578;-74.1467
050703;Apongo;Victor Fajardo;Ayacucho;1420;171.58;-14.0147;-73.9342
050704;Canaria;Victor Fajardo;Ayacucho;4057;263.88;-13.9231;-73.9053
050706;Cayara;Victor Fajardo;Ayacucho;1204;69.25;-13.7953;-73.9906
050707;Colca;Victor Fajardo;Ayacucho;1078;69.57;-13.7125;-74.0342
050708;Huaya;Victor Fajardo;Ayacucho;3284;162.23;-13.8492;-73.9536
050709;Huamanquiquia;Victor Fajardo;Ayacucho;1248;67.33;-13.7283;-74.2731
050710;Huancaraylla;Victor Fajardo;Ayacucho;1207;165.49;-13.7175;-74.1028
050713;Sarhua;Victor Fajardo;Ayacucho;2778;373.14;-13.6714;-74.3208
050714;Vilcanchos;Victor Fajardo;Ayacucho;2733;498.54;-13.6122;-74.5339
050715;Asquipata;Victor Fajardo;Ayacucho;444;70.72;-14.0536;-73.9094
050801;Sancos;Huanca Sancos;Ayacucho;3632;1289.7;-13.9192;-74.3339
050802;Sacsamarca;Huanca Sancos;Ayacucho;1637;673.03;-13.9464;-74.315
050803;Santiago de Lucanamarca;Huanca Sancos;Ayacucho;2683;658.26;-13.8433;-74.3722
050804;Carapo;Huanca Sancos;Ayacucho;2543;241.34;-13.8375;-74.3147
050901;Vilcas Huaman;Vilcas Huaman;Ayacucho;8545;216.89;-13.6533;-73.9528
050902;Vischongo;Vilcas Huaman;Ayacucho;4828;268.87;-13.5881;-73.9983
050903;Accomarca;Vilcas Huaman;Ayacucho;939;82.43;-13.8003;-73.9033
050904;Carhuanca;Vilcas Huaman;Ayacucho;1018;56.91;-13.7425;-73.7892
050905;Concepcion;Vilcas Huaman;Ayacucho;3193;215.03;-13.5322;-73.875
050906;Huambalpa;Vilcas Huaman;Ayacucho;2206;150.76;-13.7494;-73.9339
050907;Saurama;Vilcas Huaman;Ayacucho;1297;95.15;-13.695;-73.7622
050908;Independencia;Vilcas Huaman;Ayacucho;1583;85.28;-13.8581;-73.8878
051001;Pausa;Paucar del Sara Sara;Ayacucho;2845;242.78;-15.2806;-73.3433
051002;Colta;Paucar del Sara Sara;Ayacucho;1179;277.29;-15.1631;-73.2939
051003;Corculla;Paucar del Sara Sara;Ayacucho;445;97.05;-15.2617;-73.2
051004;Lampa;Paucar del Sara Sara;Ayacucho;2590;289.45;-15.1847;-73.3472
051005;Marcabamba;Paucar del Sara Sara;Ayacucho;786;122.53;-15.1492;-73.3436
051006;Oyolo;Paucar del Sara Sara;Ayacucho;1226;820.13;-15.1797;-73.1881
051007;Pararca;Paucar del Sara Sara;Ayacucho;669;57.91;-15.2169;-73.4653
051008;San Javier de Alpabamba;Paucar del Sara Sara;Ayacucho;551;92.87;-15.0539;-73.3103
051009;San Jose de Ushua;Paucar del Sara Sara;Ayacucho;179;17.33;-15.2242;-73.2258
051010;Sara Sara;Paucar del Sara Sara;Ayacucho;735;79.58;-15.2458;-73.4514
051101;Querobamba;Sucre;Ayacucho;2792;275.65;-14.0136;-73.8408
051102;Belen;Sucre;Ayacucho;772;41.46;-13.8094;-73.7578
051103;Chalcos;Sucre;Ayacucho;635;58.43;-13.8478;-73.7533
051104;San Salvador de Quije;Sucre;Ayacucho;1679;144.63;-13.9703;-73.7314
051105;Paico;Sucre;Ayacucho;837;79.65;-14.0386;-73.6433
051106;Santiago de Paucaray;Sucre;Ayacucho;724;62.65;-14.0444;-73.6372
051107;San Pedro de Larcay;Sucre;Ayacucho;1053;310.07;-14.1697;-73.5758
051108;Soras;Sucre;Ayacucho;1331;357.97;-14.1153;-73.6056
051109;Huacaña;Sucre;Ayacucho;694;132.73;-14.1728;-73.8864
051110;Chilcayoc;Sucre;Ayacucho;568;33.06;-13.8825;-73.7275
051111;Morcolla;Sucre;Ayacucho;1035;289.34;-14.1097;-73.8736
060101;Cajamarca;Cajamarca;Cajamarca;251097;382.74;-7.1564;-78.5153
060102;Asuncion;Cajamarca;Cajamarca;13508;210.18;-7.3233;-78.5203
060103;Cospan;Cajamarca;Cajamarca;7882;558.79;-7.4264;-78.5433
060104;Chetilla;Cajamarca;Cajamarca;4319;73.94;-7.1461;-78.6714
060105;Encañada;Cajamarca;Cajamarca;24290;635.06;-7.0864;-78.3447
060106;Jesus;Cajamarca;Cajamarca;14742;267.78;-7.2456;-78.3778
060107;Los Baños del Inca;Cajamarca;Cajamarca;43401;276.4;-7.1617;-78.4633
060108;Llacanora;Cajamarca;Cajamarca;5404;49.42;-7.1928;-78.4269
060109;Magdalena;Cajamarca;Cajamarca;9689;215.38;-7.2508;-78.6564
060110;Matara;Cajamarca;Cajamarca;3542;59.74;-7.2564;-78.2636
060111;Namora;Cajamarca;Cajamarca;10740;180.69;-7.2017;-78.3247
060112;San Juan;Cajamarca;Cajamarca;5232;69.66;-7.2903;-78.4992
060201;Cajabamba;Cajabamba;Cajamarca;30798;192.29;-7.6222;-78.0472
060202;Cachachi;Cajabamba;Cajamarca;26990;820.81;-7.4494;-78.2703
060203;Condebamba;Cajabamba;Cajamarca;14006;204.6;-7.5736;-78.07
060205;Sitacocha;Cajabamba;Cajamarca;8910;589.94;-7.5211;-77.9714
060301;Celendin;Celendin;Cajamarca;28319;409.0;-6.8681;-78.1489
060302;Cortegana;Celendin;Cajamarca;8878;233.31;-6.4906;-78.3036
060303;Chumuch;Celendin;Cajamarca;3198;196.3;-6.6033;-78.2033
060304;Huasmin;Celendin;Cajamarca;13621;437.5;-6.8386;-78.2431
060305;Jorge Chavez;Celendin;Cajamarca;593;53.34;-6.9414;-78.0914
060306;Jose Galvez;Celendin;Cajamarca;2497;58.01;-6.9253;-78.1328
060307;Miguel Iglesias;Celendin;Cajamarca;5613;235.73;-6.6439;-78.2381
060308;Oxamarca;Celendin;Cajamarca;6977;292.52;-7.0397;-78.0725
060309;Sorochuco;Celendin;Cajamarca;9881;170.02;-6.9103;-78.2553
060310;Sucre;Celendin;Cajamarca;6085;270.98;-6.9408;-78.1369
060311;Utco;Celendin;Cajamarca;1417;100.79;-6.8964;-78.0639
060312;La Libertad de Pallan;Celendin;Cajamarca;9101;184.09;-6.7269;-78.2908
060401;Contumaza;Contumaza;Cajamarca;8461;358.28;-7.3653;-78.8064
060403;Chilete;Contumaza;Cajamarca;2733;133.94;-7.2222;-78.8406
060404;Guzmango;Contumaza;Cajamarca;3146;49.88;-7.3842;-78.8981
060405;San Benito;Contumaza;Cajamarca;3845;486.55;-7.4247;-78.9292
060406;Cupisnique;Contumaza;Cajamarca;1457;280.2;-7.3492;-79.0297
060407;Tantarica;Contumaza;Cajamarca;3303;149.7;-7.3006;-78.9353
060408;Yonan;Contumaza;Cajamarca;7907;547.25;-7.2536;-79.13
060409;Santa Cruz de Toled;Contumaza;Cajamarca;1044;64.53;-7.3436;-78.8403
060501;Cutervo;Cutervo;Cajamarca;56382;422.27;-6.3794;-78.8206
060502;Callayuc;Cutervo;Cajamarca;10280;316.05;-6.1764;-78.9047
060503;Cujillo;Cutervo;Cajamarca;3040;108.93;-6.1072;-78.5725
060504;Choros;Cutervo;Cajamarca;3595;276.96;-5.9008;-78.6967
060505;La Ramada;Cutervo;Cajamarca;4862;30.27;-6.2172;-78.5547
060506;Pimpingos;Cutervo;Cajamarca;5697;186.04;-6.0622;-78.7575
060507;Querocotillo;Cutervo;Cajamarca;17001;697.1;-6.2747;-79.0369
060508;San Andres de Cutervo;Cutervo;Cajamarca;5240;133.4;-6.2364;-78.7111
060509;San Juan de Cutervo;Cutervo;Cajamarca;1981;60.87;-6.1747;-78.6011
060510;San Luis de Lucma;Cutervo;Cajamarca;4042;109.74;-6.2956;-78.6056
060511;Santa Cruz;Cutervo;Cajamarca;2889;128.0;-6.0964;-78.8547
060512;Santo Domingo de La Capilla;Cutervo;Cajamarca;5649;103.74;-6.245;-78.8578
060513;Santo Tomas;Cutervo;Cajamarca;7931;279.61;-6.1544;-78.6908
060514;Socota;Cutervo;Cajamarca;10720;134.83;-6.3158;-78.7014
060515;Toribio Casanova;Cutervo;Cajamarca;1262;40.65;-6.0069;-78.6997
060601;Chota;Chota;Cajamarca;48903;261.75;-6.5631;-78.6508
060602;Anguia;Chota;Cajamarca;4296;123.01;-6.3422;-78.605
060603;Cochabamba;Chota;Cajamarca;6401;130.01;-6.4731;-78.8878
060604;Conchan;Chota;Cajamarca;7060;180.23;-6.4444;-78.6572
060605;Chadin;Chota;Cajamarca;4104;66.53;-6.4731;-78.4197
060606;Chiguirip;Chota;Cajamarca;4663;51.44;-6.4286;-78.7192
060607;Chimban;Chota;Cajamarca;3684;198.99;-6.2567;-78.4786
060608;Huambos;Chota;Cajamarca;9490;240.72;-6.4522;-78.9639
060609;Lajas;Chota;Cajamarca;12505;120.73;-6.5617;-78.7389
060610;Llama;Chota;Cajamarca;8037;494.94;-6.5144;-79.1197
060611;Miracosta;Chota;Cajamarca;3924;415.69;-6.4053;-79.2831
060612;Paccha;Chota;Cajamarca;5335;93.97;-6.5022;-78.4211
060613;Pion;Chota;Cajamarca;1566;141.05;-6.1783;-78.4817
060614;Querocoto;Chota;Cajamarca;8918;301.07;-6.3586;-79.0356
060615;Tacabamba;Chota;Cajamarca;20132;196.25;-6.3931;-78.6125
060616;Tocmoche;Chota;Cajamarca;993;222.38;-6.4125;-79.3606
060617;San Juan de Licupis;Chota;Cajamarca;969;205.01;-6.4244;-79.2414
060618;Choropampa;Chota;Cajamarca;2553;171.59;-6.4372;-78.3503
060619;Chalamarca;Chota;Cajamarca;11274;179.74;-6.4889;-78.4689
060701;Bambamarca;Hualgayoc;Cajamarca;82744;451.38;-6.6786;-78.5242
060702;Chugur;Hualgayoc;Cajamarca;3601;99.6;-6.6711;-78.7397
060703;Hualgayoc;Hualgayoc;Cajamarca;16979;226.17;-6.7656;-78.6119
060801;Jaen;Jaen;Cajamarca;101726;537.25;-5.7106;-78.8117
060802;Bellavista;Jaen;Cajamarca;15310;870.55;-5.6664;-78.6786
060803;Colasay;Jaen;Cajamarca;10447;735.73;-5.9786;-79.0689
060804;Chontali;Jaen;Cajamarca;10232;428.55;-5.6458;-79.0878
060805;Pomahuaca;Jaen;Cajamarca;10190;732.8;-5.9322;-79.2289
060806;Pucara;Jaen;Cajamarca;7703;240.3;-6.0414;-79.1283
060807;Sallique;Jaen;Cajamarca;8730;373.89;-5.6569;-79.315
060808;San Felipe;Jaen;Cajamarca;6266;255.49;-5.7697;-79.3136
060809;San Jose del Alto;Jaen;Cajamarca;7209;634.11;-5.3908;-79.0539
060810;Santa Rosa;Jaen;Cajamarca;11363;282.8;-5.4358;-78.5644
060811;Las Pirias;Jaen;Cajamarca;4009;60.41;-5.6269;-78.8533
060812;Huabal;Jaen;Cajamarca;6956;80.69;-5.6133;-78.9122
060901;Santa Cruz;Santa Cruz;Cajamarca;12431;102.51;-6.6267;-78.9464
060902;Catache;Santa Cruz;Cajamarca;10048;609.16;-6.6753;-79.0325
060903;Chancaybaños;Santa Cruz;Cajamarca;3899;120.04;-6.5764;-78.8681
060904;La Esperanza;Santa Cruz;Cajamarca;2560;59.7;-6.5931;-78.895
060905;Ninabamba;Santa Cruz;Cajamarca;2759;60.04;-6.6497;-78.7894
060906;Pulan;Santa Cruz;Cajamarca;4438;155.67;-6.7397;-78.9231
060907;Sexi;Santa Cruz;Cajamarca;571;192.87;-6.5636;-79.0514
060908;Uticyacu;Santa Cruz;Cajamarca;1606;43.38;-6.6064;-78.7972
060909;Yauyucan;Santa Cruz;Cajamarca;3610;35.37;-6.6783;-78.82
060910;Andabamba;Santa Cruz;Cajamarca;1494;7.61;-6.6628;-78.8194
060911;Saucepampa;Santa Cruz;Cajamarca;1848;31.58;-6.6928;-78.9183
061001;San Miguel;San Miguel;Cajamarca;15894;368.26;-6.9997;-78.8536
061002;Calquis;San Miguel;Cajamarca;4425;339.0;-6.9797;-78.8522
061003;La Florida;San Miguel;Cajamarca;2157;61.33;-6.8683;-79.1231
061004;Llapa;San Miguel;Cajamarca;6086;132.68;-6.9786;-78.8072
061005;Nanchoc;San Miguel;Cajamarca;1550;358.94;-6.9583;-79.2419
061006;Niepos;San Miguel;Cajamarca;4001;158.88;-6.9272;-79.1283
061007;San Gregorio;San Miguel;Cajamarca;2263;308.05;-7.0575;-79.0956
061008;San Silvestre de Cochan;San Miguel;Cajamarca;4449;131.62;-6.9778;-78.775
061009;El Prado;San Miguel;Cajamarca;1300;71.44;-7.0339;-79.0111
061010;Union Agua Blanca;San Miguel;Cajamarca;3577;171.71;-7.0447;-79.06
061011;Tongod;San Miguel;Cajamarca;4900;163.89;-6.7631;-78.8236
061012;Catilluc;San Miguel;Cajamarca;3495;197.31;-6.7994;-78.7906
061013;Bolivar;San Miguel;Cajamarca;1462;78.97;-6.9772;-79.1789
061101;San Ignacio;San Ignacio;Cajamarca;37862;381.88;-5.1403;-79.0003
061102;Chirinos;San Ignacio;Cajamarca;14355;351.91;-5.3028;-78.8983
061103;Huarango;San Ignacio;Cajamarca;20589;922.35;-5.2706;-78.7753
061104;Namballe;San Ignacio;Cajamarca;11717;663.51;-5.0089;-79.0856
061105;La Coipa;San Ignacio;Cajamarca;21056;376.09;-5.3933;-78.9044
061106;San Jose de Lourdes;San Ignacio;Cajamarca;22147;1482.75;-5.1025;-78.9139
061107;Tabaconas;San Ignacio;Cajamarca;22002;798.59;-5.3164;-79.2833
061201;Pedro Galvez;San Marcos;Cajamarca;21549;238.74;-7.3361;-78.1728
061202;Ichocan;San Marcos;Cajamarca;1624;76.11;-7.3669;-78.1283
061203;Gregorio Pita;San Marcos;Cajamarca;6666;212.81;-7.2725;-78.1594
061204;Jose Manuel Quiroz;San Marcos;Cajamarca;3961;115.42;-7.3472;-78.0467
061205;Eduardo Villanueva;San Marcos;Cajamarca;2288;63.13;-7.4636;-78.1297
061206;Jose Sabogal;San Marcos;Cajamarca;15303;594.31;-7.2833;-78.0167
061207;Chancay;San Marcos;Cajamarca;3337;61.8;-7.3858;-78.1264
061301;San Pablo;San Pablo;Cajamarca;13586;197.92;-7.1181;-78.8231
061302;San Bernardino;San Pablo;Cajamarca;4830;167.12;-7.1681;-78.8311
061303;San Luis;San Pablo;Cajamarca;1255;42.88;-7.1583;-78.87
061304;Tumbaden;San Pablo;Cajamarca;3590;264.37;-7.0203;-78.7403
070101;Cusco;Cusco;Cusco;121667;116.22;-13.5153;-71.98
070102;Ccorca;Cusco;Cusco;2483;188.56;-13.5842;-72.0594
070103;Poroy;Cusco;Cusco;8020;14.96;-13.4969;-72.0425
070104;San Jeronimo;Cusco;Cusco;48224;103.34;-13.5439;-71.8872
070105;San Sebastian;Cusco;Cusco;118312;89.44;-13.5311;-71.9333
070106;Santiago;Cusco;Cusco;91838;69.72;-13.5272;-71.9842
070107;Saylla;Cusco;Cusco;5599;28.38;-13.5703;-71.8264
